Category,Year,Value
difficulty-in-seeing,2010,3210
difficulty-in-speaking,2010,60
learning-disability,2010,890
progressive-illness,2010,1310
dyslexia,2010,2460
epilepsy,2010,600
diabetes,2010,140
mental-health-condition,2010,340
cerebral-palsy,2010,310
spina-bifida,2010,80
other,2010,2460
not-recorded,2010,260
north-east,2010,1290
north-west,2010,3110
yorkshire-and-the-humber,2010,2150
east-midlands,2010,1600
west-midlands,2010,2240
east-of-england,2010,1970
london,2010,2370
south-east,2010,2580
south-west,2010,1970
wales,2010,1250
scotland,2010,1660
all-people,2011,16850
not-recorded,2011,10
16-17,2011,20
18-24,2011,940
25-29,2011,1510
30-34,2011,1810
35-39,2011,1970
40-44,2011,2440
45-49,2011,2860
50-54,2011,2430
55-59,2011,1780
60-64,2011,810
65,2011,280
not-recorded,2011,10
female,2011,9780
male,2011,7060
not-recorded,2011,10
arms-or-hands,2011,830
legs-or-feet,2011,1110
back-or-neck,2011,1210
stomach-liver-kidney-or-digestion,2011,50
heart-blood-blood-pressure-or-circulation,2011,130
chest-or-breathing,2011,70
skin-conditions-and-severe-disfigurement,2011,10
deaf-or-hard-of-hearing,2011,3020
difficulty-in-seeing,2011,3030
difficulty-in-speaking,2011,50
learning-disability,2011,840
progressive-illness,2011,1000
dyslexia,2011,2160
epilepsy,2011,600
diabetes,2011,110
mental-health-condition,2011,410
cerebral-palsy,2011,260
spina-bifida,2011,70
other,2011,1890
not-recorded,2011,200
north-east,2011,790
north-west,2011,2050
yorkshire-and-the-humber,2011,1410
east-midlands,2011,1190
west-midlands,2011,1540
east-of-england,2011,1540
london,2011,2180
south-east,2011,2000
south-west,2011,1630
wales,2011,960
scotland,2011,1370
all-people,2012,20130
not-recorded,2012,10
16-17,2012,20
18-24,2012,1060
25-29,2012,1740
30-34,2012,2110
35-39,2012,2250
40-44,2012,2920
45-49,2012,3370
50-54,2012,3050
55-59,2012,2230
60-64,2012,980
65,2012,390
not-recorded,2012,20
female,2012,11950
male,2012,8160
not-recorded,2012,20
arms-or-hands,2012,1160
legs-or-feet,2012,1500
back-or-neck,2012,2410
stomach-liver-kidney-or-digestion,2012,60
heart-blood-blood-pressure-or-circulation,2012,150
chest-or-breathing,2012,100
skin-conditions-and-severe-disfigurement,2012,10
deaf-or-hard-of-hearing,2012,3340
difficulty-in-seeing,2012,3050
difficulty-in-speaking,2012,60
learning-disability,2012,870
progressive-illness,2012,1130
dyslexia,2012,2400
epilepsy,2012,620
diabetes,2012,130
mental-health-condition,2012,620
cerebral-palsy,2012,290
spina-bifida,2012,60
other,2012,2170
not-recorded,2012,200
north-east,2012,920
north-west,2012,2620
yorkshire-and-the-humber,2012,1740
east-midlands,2012,1350
west-midlands,2012,1870
east-of-england,2012,1800
london,2012,2460
south-east,2012,2220
south-west,2012,1920
wales,2012,1480
scotland,2012,1560
all-people,2013,23620
not-recorded,2013,50
16-17,2013,20
18-24,2013,1440
25-29,2013,1980
30-34,2013,2480
35-39,2013,2550
40-44,2013,3350
45-49,2013,3950
50-54,2013,3650
55-59,2013,2640
60-64,2013,1100
65,2013,420
not-recorded,2013,70
female,2013,14380
male,2013,9160
not-recorded,2013,10
arms-or-hands,2013,1440
legs-or-feet,2013,1850
back-or-neck,2013,3730
stomach-liver-kidney-or-digestion,2013,70
heart-blood-blood-pressure-or-circulation,2013,170
chest-or-breathing,2013,110
skin-conditions-and-severe-disfigurement,2013,10
deaf-or-hard-of-hearing,2013,3310
difficulty-in-seeing,2013,3020
difficulty-in-speaking,2013,70
learning-disability,2013,900
progressive-illness,2013,1200
dyslexia,2013,2840
epilepsy,2013,680
diabetes,2013,120
mental-health-condition,2013,1080
cerebral-palsy,2013,300
spina-bifida,2013,70
other,2013,2660
not-recorded,2013,220
north-east,2013,1080
north-west,2013,3000
yorkshire-and-the-humber,2013,2180
east-midlands,2013,1670
west-midlands,2013,2210
east-of-england,2013,2080
london,2013,2810
south-east,2013,2670
south-west,2013,2100
wales,2013,1740
scotland,2013,1850
all-people,2014,23040
not-recorded,2014,50
16-17,2014,40
18-24,2014,1560
25-29,2014,2020
30-34,2014,2410
35-39,2014,2550
40-44,2014,3100
45-49,2014,3760
50-54,2014,3660
55-59,2014,2490
60-64,2014,1080
65,2014,330
not-recorded,2014,190
female,2014,14230
male,2014,8620
not-recorded,2014,10
arms-or-hands,2014,1270
legs-or-feet,2014,1540
back-or-neck,2014,3680
stomach-liver-kidney-or-digestion,2014,70
heart-blood-blood-pressure-or-circulation,2014,110
chest-or-breathing,2014,80
skin-conditions-and-severe-disfigurement,2014,10
deaf-or-hard-of-hearing,2014,3190
difficulty-in-seeing,2014,3020
difficulty-in-speaking,2014,50
learning-disability,2014,1140
progressive-illness,2014,1030
dyslexia,2014,2810
epilepsy,2014,650
diabetes,2014,90
mental-health-condition,2014,1010
cerebral-palsy,2014,350
spina-bifida,2014,70
other,2014,2870
not-recorded,2014,200
north-east,2014,1070
north-west,2014,2900
yorkshire-and-the-humber,2014,2200
east-midlands,2014,1640
west-midlands,2014,2380
east-of-england,2014,2060
london,2014,2890
south-east,2014,2600
south-west,2014,2170
wales,2014,1190
scotland,2014,1740
all-people,2015,21610
not-recorded,2015,30
16-17,2015,70
18-24,2015,1790
25-29,2015,1910
30-34,2015,2330
35-39,2015,2340
40-44,2015,2800
45-49,2015,3380
50-54,2015,3290
55-59,2015,2350
60-64,2015,1010
65,2015,290
not-recorded,2015,190
female,2015,13290
male,2015,8130
not-recorded,2015,10
arms-or-hands,2015,1040
legs-or-feet,2015,1450
back-or-neck,2015,3240
stomach-liver-kidney-or-digestion,2015,80
heart-blood-blood-pressure-or-circulation,2015,120
chest-or-breathing,2015,80
skin-conditions-and-severe-disfigurement,2015,10
deaf-or-hard-of-hearing,2015,3110
difficulty-in-seeing,2015,2840
difficulty-in-speaking,2015,40
learning-disability,2015,1210
progressive-illness,2015,990
dyslexia,2015,2530
epilepsy,2015,580
diabetes,2015,70
mental-health-condition,2015,1340
cerebral-palsy,2015,280
spina-bifida,2015,60
other,2015,2540
not-recorded,2015,140
north-east,2015,980
north-west,2015,2740
yorkshire-and-the-humber,2015,2020
east-midlands,2015,1620
west-midlands,2015,2150
east-of-england,2015,1940
london,2015,2810
south-east,2015,2430
south-west,2015,2060
wales,2015,1140
scotland,2015,1590
all-people,2016,23470
not-recorded,2016,20
16-17,2016,110
18-24,2016,2240
25-29,2016,2210
30-34,2016,2440
35-39,2016,2590
40-44,2016,2910
45-49,2016,3450
50-54,2016,3640
55-59,2016,2460
60-64,2016,1140
65,2016,270
not-recorded,2016,320
female,2016,14440
male,2016,8710
not-recorded,2016,10
arms-or-hands,2016,1090
legs-or-feet,2016,1490
back-or-neck,2016,3250
stomach-liver-kidney-or-digestion,2016,80
heart-blood-blood-pressure-or-circulation,2016,140
chest-or-breathing,2016,80
skin-conditions-and-severe-disfigurement,2016,10
deaf-or-hard-of-hearing,2016,3510
difficulty-in-seeing,2016,2850
difficulty-in-speaking,2016,50
learning-disability,2016,1500
progressive-illness,2016,940
dyslexia,2016,2930
epilepsy,2016,620
diabetes,2016,70
mental-health-condition,2016,1790
cerebral-palsy,2016,320
spina-bifida,2016,70
other,2016,2670
not-recorded,2016,140
north-east,2016,1100
north-west,2016,2930
yorkshire-and-the-humber,2016,2160
east-midlands,2016,1780
west-midlands,2016,2320
east-of-england,2016,2070
london,2016,3100
south-east,2016,2680
south-west,2016,2250
wales,2016,1250
scotland,2016,1710
all-people,2017,26000
not-recorded,2017,40
16-17,2017,180
18-24,2017,2920
25-29,2017,2570
30-34,2017,2710
35-39,2017,2900
40-44,2017,2870
45-49,2017,3690
50-54,2017,3740
55-59,2017,2740
60-64,2017,1320
65,2017,320
not-recorded,2017,190
female,2017,16250
male,2017,9560
not-recorded,2017,10
arms-or-hands,2017,1050
legs-or-feet,2017,1490
back-or-neck,2017,3430
stomach-liver-kidney-or-digestion,2017,80
heart-blood-blood-pressure-or-circulation,2017,160
chest-or-breathing,2017,120
skin-conditions-and-severe-disfigurement,2017,30
deaf-or-hard-of-hearing,2017,3660
difficulty-in-seeing,2017,2710
difficulty-in-speaking,2017,70
learning-disability,2017,2090
progressive-illness,2017,1030
dyslexia,2017,3300
epilepsy,2017,680
diabetes,2017,110
mental-health-condition,2017,2600
cerebral-palsy,2017,330
spina-bifida,2017,50
other,2017,3010
not-recorded,2017,140
north-east,2017,1300
north-west,2017,3300
yorkshire-and-the-humber,2017,2490
east-midlands,2017,2020
west-midlands,2017,2510
east-of-england,2017,2190
london,2017,3260
south-east,2017,2980
south-west,2017,2430
wales,2017,1480
scotland,2017,1910
all-people,2018,29490
not-recorded,2018,50
16-17,2018,220
18-24,2018,3860
25-29,2018,2820
30-34,2018,3070
35-39,2018,3270
40-44,2018,3190
45-49,2018,3960
50-54,2018,4070
55-59,2018,3050
60-64,2018,1550
65,2018,390
not-recorded,2018,280
female,2018,18390
male,2018,10830
not-recorded,2018,10
arms-or-hands,2018,1060
legs-or-feet,2018,1500
back-or-neck,2018,3450
stomach-liver-kidney-or-digestion,2018,80
heart-blood-blood-pressure-or-circulation,2018,140
chest-or-breathing,2018,110
skin-conditions-and-severe-disfigurement,2018,20
deaf-or-hard-of-hearing,2018,3960
difficulty-in-seeing,2018,2840
difficulty-in-speaking,2018,70
learning-disability,2018,2490
progressive-illness,2018,1160
dyslexia,2018,3520
epilepsy,2018,660
diabetes,2018,90
mental-health-condition,2018,4420
cerebral-palsy,2018,350
spina-bifida,2018,60
other,2018,3500
not-recorded,2018,130
north-east,2018,1590
north-west,2018,3810
yorkshire-and-the-humber,2018,2810
east-midlands,2018,2220
west-midlands,2018,2860
east-of-england,2018,2510
london,2018,3740
south-east,2018,3330
south-west,2018,2740
wales,2018,1600
scotland,2018,2170
all-people,2019,36900
not-recorded,2019,80
16-17,2019,210
18-24,2019,4570
25-29,2019,3820
30-34,2019,4050
35-39,2019,4150
40-44,2019,3990
45-49,2019,4760
50-54,2019,4990
55-59,2019,3830
60-64,2019,1950
65,2019,520
not-recorded,2019,500
female,2019,23400
male,2019,13000
not-recorded,2019,20
arms-or-hands,2019,1080
legs-or-feet,2019,1520
back-or-neck,2019,3750
stomach-liver-kidney-or-digestion,2019,80
heart-blood-blood-pressure-or-circulation,2019,180
chest-or-breathing,2019,120
skin-conditions-and-severe-disfigurement,2019,40
deaf-or-hard-of-hearing,2019,4330
difficulty-in-seeing,2019,2880
difficulty-in-speaking,2019,80
learning-disability,2019,2910
progressive-illness,2019,1240
dyslexia,2019,3960
epilepsy,2019,700
diabetes,2019,110
mental-health-condition,2019,8600
cerebral-palsy,2019,350
spina-bifida,2019,70
other,2019,4890
not-recorded,2019,110
north-east,2019,1830
north-west,2019,5190
yorkshire-and-the-humber,2019,3380
east-midlands,2019,2900
west-midlands,2019,3680
east-of-england,2019,2960
london,2019,4770
south-east,2019,4080
south-west,2019,3090
wales,2019,2250
scotland,2019,2650
all-people,2020,34490
not-recorded,2020,60
16-17,2020,100
18-24,2020,3960
25-29,2020,3920
30-34,2020,4100
35-39,2020,4000
40-44,2020,4100
45-49,2020,4230
50-54,2020,4380
55-59,2020,3530
60-64,2020,1650
65,2020,470
not-recorded,2020,1130
female,2020,21870
male,2020,11500
not-recorded,2020,10
arms-or-hands,2020,880
legs-or-feet,2020,970
back-or-neck,2020,2590
stomach-liver-kidney-or-digestion,2020,60
heart-blood-blood-pressure-or-circulation,2020,130
chest-or-breathing,2020,140
skin-conditions-and-severe-disfigurement,2020,20
deaf-or-hard-of-hearing,2020,3790
difficulty-in-seeing,2020,2310
difficulty-in-speaking,2020,70
learning-disability,2020,2300
progressive-illness,2020,830
dyslexia,2020,4290
epilepsy,2020,570
diabetes,2020,110
mental-health-condition,2020,11460
cerebral-palsy,2020,230
spina-bifida,2020,30
other,2020,3720
not-recorded,2020,70
north-east,2020,1450
north-west,2020,5110
yorkshire-and-the-humber,2020,3220
east-midlands,2020,2690
west-midlands,2020,3190
east-of-england,2020,2710
london,2020,4840
south-east,2020,3960
south-west,2020,2960
wales,2020,2140
scotland,2020,2170
all-people,2021,36790
not-recorded,2021,100
16-17,2021,140
18-24,2021,5070
25-29,2021,4080
30-34,2021,4430
35-39,2021,4130
40-44,2021,4210
45-49,2021,4110
50-54,2021,4470
55-59,2021,3630
60-64,2021,1770
65,2021,580
not-recorded,2021,2190
female,2021,22080
male,2021,12520
not-recorded,2021,20
arms-or-hands,2021,790
legs-or-feet,2021,1110
back-or-neck,2021,2380
stomach-liver-kidney-or-digestion,2021,60
heart-blood-blood-pressure-or-circulation,2021,140
chest-or-breathing,2021,150
skin-conditions-and-severe-disfigurement,2021,20
deaf-or-hard-of-hearing,2021,3800
difficulty-in-seeing,2021,2650
difficulty-in-speaking,2021,60
learning-disability,2021,3680
progressive-illness,2021,890
dyslexia,2021,3660
epilepsy,2021,580
diabetes,2021,110
mental-health-condition,2021,11980
cerebral-palsy,2021,280
spina-bifida,2021,50
other,2021,4410
not-recorded,2021,30
north-east,2021,1540
north-west,2021,5160
yorkshire-and-the-humber,2021,3220
east-midlands,2021,2750
west-midlands,2021,3600
east-of-england,2021,2970
london,2021,5440
south-east,2021,4150
south-west,2021,3180
wales,2021,2360
scotland,2021,2390
